,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,filename,Class
429,-154.03088,25.486862,-33.12766,-2.8529418,-2.7942908,2.3047686,-8.304475,10.303876,7.0530777,5.146508,7.967314,15.562589,13.493646,hail_heavy_REC7.WAV,hail_heavy
430,-108.9124,22.140947,-35.43641,-2.2195647,-0.5591691,2.8623378,-8.92777,8.642465,5.3312764,3.7578275,6.7571735,14.776328,12.605829,hail_heavy_REC17.WAV,hail_heavy
431,-137.56511,24.245022,-34.061012,-2.7485063,-2.1720138,2.188577,-8.59322,9.2917385,6.7468443,5.720285,8.176002,15.135687,12.289586,hail_heavy_REC16.WAV,hail_heavy
432,-136.77806,23.037573,-32.310574,-0.34261125,-2.3123367,3.5229526,-8.706571,8.309645,5.342356,6.21355,7.9000173,14.941101,11.747185,hail_heavy_REC14.WAV,hail_heavy
433,-146.465,27.707563,-34.766293,-5.6940756,-1.4974625,2.6183527,-8.605346,9.308696,7.6651673,4.337943,7.3247695,14.158652,13.746077,hail_heavy_REC15.WAV,hail_heavy
434,-168.69624,29.272495,-31.593004,-2.9252558,-2.8180792,2.1936693,-7.5922303,9.727343,6.5566645,5.0826497,8.034198,15.854641,14.39653,hail_heavy_REC11.WAV,hail_heavy
435,-120.397575,19.711088,-35.172527,-1.226625,-0.72316456,2.4516492,-9.500245,9.662107,7.500261,5.4847007,6.894279,14.92166,12.900759,hail_heavy_REC10.WAV,hail_heavy
436,-129.9518,21.88804,-34.735928,-1.9371821,-0.87353915,3.499569,-8.883251,10.0561695,6.5004826,4.7405825,7.3785005,13.773359,12.314696,hail_heavy_REC12.WAV,hail_heavy
437,-153.98177,25.37607,-33.598118,-2.7664697,-1.6545178,2.4473507,-7.350163,10.325228,6.667392,4.580761,7.469625,15.730501,13.218902,hail_heavy_REC13.WAV,hail_heavy
438,-249.53816,29.16002,-15.200449,3.483491,-21.340471,9.257022,-5.6921616,8.568667,-1.9598043,12.156057,5.816309,11.955357,12.644242,hail_heavy_REC22.WAV,hail_heavy
439,-277.19226,40.91743,-13.689883,1.1432276,-18.755701,9.876364,-2.7730165,8.918674,-0.54402304,12.1606655,8.0246105,13.105385,13.958486,hail_heavy_REC21.WAV,hail_heavy
440,-272.767,53.28684,-5.885039,7.2587166,-7.5644717,12.500471,2.0212538,8.231692,1.5889355,11.9610615,9.609489,13.654699,13.631314,hail_heavy_REC20.WAV,hail_heavy
441,-121.1937,23.155712,-34.82862,-2.441697,-1.1477044,2.2667236,-8.84083,8.824565,5.9437265,4.421296,7.436026,15.081166,12.802772,hail_heavy_REC18.WAV,hail_heavy
442,-162.82414,29.801756,-33.515785,-4.3805346,-0.19147396,1.5247468,-8.532502,7.874447,6.8090577,4.334309,8.28294,16.06574,14.613704,hail_heavy_REC19.WAV,hail_heavy
443,-137.96835,25.69874,-33.216885,-2.5893147,-2.293124,3.0736625,-7.967313,8.904023,5.576124,4.9837103,8.051003,15.531766,12.814603,hail_heavy_REC9.WAV,hail_heavy
444,-106.98425,20.327612,-34.766613,-1.154365,-2.1856441,2.4851432,-7.9482355,11.078784,7.056827,5.395965,6.644107,14.520714,12.090274,hail_heavy_REC8.WAV,hail_heavy
445,-325.0434,58.44122,-13.013318,-1.1527886,-12.82347,0.16424155,-5.544585,4.776478,2.9425654,10.708736,13.245688,21.251287,18.082684,hail_light_REC3.WAV,hail_light
446,-316.72464,50.073666,-15.969033,0.85448617,-10.139583,0.9150281,-6.339374,6.124879,4.046759,9.495234,11.046505,19.95915,18.472494,hail_light_REC2.WAV,hail_light
447,-325.76117,59.224224,-12.970701,-1.6666415,-13.102572,0.24843323,-5.013591,5.150735,3.6035078,11.129876,13.62843,21.61766,18.049416,hail_light_REC1.WAV,hail_light
448,-296.95044,53.635445,-17.676472,-2.6128514,-10.1063,-2.6441042,-10.114422,3.4352574,4.133346,9.270231,13.123967,20.90397,18.552921,hail_light_REC5.WAV,hail_light
449,-313.61,58.970562,-14.919531,-3.0819585,-11.823513,-0.6064887,-7.4153204,3.256901,2.5170445,9.08907,12.981564,20.929216,18.904032,hail_light_REC4.WAV,hail_light
450,-325.9453,58.7273,-11.542295,-0.030393831,-13.631662,-1.4474981,-6.772479,4.544103,2.5729806,9.893689,12.595504,22.067364,19.953924,hail_light_REC6.WAV,hail_light
451,-326.40085,59.79965,-11.46765,-1.1355373,-14.56717,-1.3472161,-6.764668,4.051236,2.548754,10.383055,13.039038,21.786858,18.830122,hail_light_REC7.WAV,hail_light
452,-310.54782,46.42911,-17.585285,2.5099807,-7.2121644,1.3836377,-7.342908,6.043583,4.8818455,10.134837,11.29137,19.336895,17.920462,hail_light_REC11.WAV,hail_light
453,-327.9251,58.30984,-11.496773,1.4162617,-11.153939,0.4328644,-5.003625,4.740157,2.6180906,10.441208,12.605474,20.605433,17.983028,hail_light_REC10.WAV,hail_light
454,-305.71194,44.46189,-19.126766,2.737281,-5.4093747,2.470021,-6.0931478,7.1282387,5.4380937,9.335022,9.870933,18.040148,17.303667,hail_light_REC12.WAV,hail_light
455,-323.52255,64.36645,-13.875262,-3.498724,-7.6457405,5.599995,-0.25279725,6.3184757,4.66285,8.87138,9.946808,16.512066,17.336424,hail_light_REC13.WAV,hail_light
456,-318.34555,55.429134,-14.012546,0.12495003,-10.855467,-0.6721531,-7.1198454,4.385257,3.5020304,10.149508,12.605271,20.550066,18.155533,hail_light_REC9.WAV,hail_light
457,-316.79254,53.83969,-13.649692,0.38723102,-12.948987,-1.6693746,-9.182477,4.09386,3.494379,10.938586,13.6851845,22.183083,19.375973,hail_light_REC8.WAV,hail_light
